time_range,city,outdoor_temperature,outdoor_humidity,outdoor_wind_speed,outdoor_pm2_5,outdoor_pm10,outdoor_co,outdoor_no2,outdoor_o3,indoor_humidity,indoor_temperature
"2024-12-02 [01:45, 02:00)",London,11.0,87,15.1,7.215,13.135,262.7,20.72,56.0,44,25
"2024-12-02 [02:00, 02:15)",London,11.1,87,16.2,6.66,12.95,262.7,14.8,57.0,43,25
"2024-12-02 [02:15, 02:30)",London,11.3,87,16.2,6.66,12.95,262.7,14.8,57.0,43,25
"2024-12-02 [03:00, 03:15)",London,12.2,82,16.9,6.66,13.32,264.55,12.21,57.0,43,25
"2024-12-02 [03:15, 03:30)",London,11.4,87,16.9,6.66,13.32,264.55,12.21,57.0,43,25
"2024-12-02 [03:30, 03:45)",London,11.4,87,16.9,6.66,13.32,264.55,12.21,57.0,43,25
"2024-12-02 [03:45, 04:00)",London,11.3,82,16.9,6.66,13.32,264.55,12.21,57.0,42,25
"2024-12-02 [04:00, 04:15)",London,11.1,82,18.4,6.475,14.06,266.4,15.54,56.0,42,25
"2024-12-02 [04:15, 04:30)",London,11.4,82,18.4,6.475,14.06,266.4,15.54,56.0,42,25
"2024-12-02 [04:30, 04:45)",London,11.2,82,18.4,6.475,14.06,266.4,15.54,56.0,42,25
"2024-12-02 [04:45, 05:00)",London,11.1,82,18.4,6.475,14.06,266.4,15.54,56.0,42,25
"2024-12-02 [05:00, 05:15)",London,11.2,82,19.1,6.29,12.765,268.25,16.095,54.0,42,25
"2024-12-02 [05:30, 05:45)",London,10.0,87,19.1,6.29,12.765,268.25,16.095,54.0,42,25
"2024-12-02 [05:45, 06:00)",London,10.0,87,19.1,6.29,12.765,268.25,16.095,54.0,42,25
"2024-12-02 [06:00, 06:15)",London,10.1,87,18.7,7.4,11.84,273.8,18.13,50.0,41,25
"2024-12-02 [06:30, 06:45)",London,9.1,87,17.3,7.4,11.84,273.8,18.13,50.0,41,25
"2024-12-02 [06:45, 07:00)",London,9.0,87,17.3,7.4,11.84,273.8,18.13,50.0,41,25
"2024-12-02 [07:15, 07:30)",London,9.0,87,16.2,7.77,13.875,290.45,28.305,47.0,41,25
"2024-12-02 [07:30, 07:45)",London,9.1,87,16.2,7.77,13.875,290.45,28.305,47.0,40,25
"2024-12-02 [07:45, 08:00)",London,9.1,87,16.2,7.77,13.875,290.45,28.305,47.0,40,25
"2024-12-02 [08:00, 08:15)",London,9.4,87,15.8,7.585,14.43,312.65,43.475,38.0,40,25
"2024-12-02 [08:15, 08:30)",London,8.4,93,15.8,7.585,14.43,312.65,43.475,38.0,40,25
"2024-12-02 [08:30, 08:45)",London,8.4,93,15.8,7.585,14.43,312.65,43.475,38.0,40,25
"2024-12-02 [08:45, 09:00)",London,8.3,93,15.8,7.585,14.43,312.65,43.475,38.0,39,25
"2024-12-02 [09:15, 09:30)",London,8.1,93,15.5,7.03,12.95,310.8,49.395,39.0,39,25
"2024-12-02 [09:00, 09:15)",London,8.1,93,15.5,7.03,12.95,310.8,49.395,39.0,39,25
"2024-12-02 [09:30, 09:45)",London,9.4,87,15.5,7.03,12.95,310.8,49.395,39.0,39,25
"2024-12-02 [09:45, 10:00)",London,9.2,87,15.5,7.03,12.95,310.8,49.395,39.0,39,25
"2024-12-02 [10:00, 10:15)",London,9.4,87,15.1,6.29,12.58,316.35,48.84,42.0,39,25
"2024-12-02 [10:15, 10:30)",London,9.2,87,15.1,6.29,12.58,316.35,48.84,42.0,38,26
"2024-12-02 [10:30, 10:45)",London,10.2,82,15.1,6.29,12.58,316.35,48.84,42.0,38,26
"2024-12-02 [10:45, 11:00)",London,10.3,82,15.1,6.29,12.58,316.35,48.84,42.0,38,26
"2024-12-02 [11:00, 11:15)",London,10.1,82,16.6,6.105,12.395,325.6,44.03,41.0,38,26
"2024-12-02 [11:30, 11:45)",London,10.3,82,16.6,6.105,12.395,325.6,44.03,41.0,34,24
"2024-12-02 [12:00, 12:15)",London,11.2,71,18.4,4.07,9.065,301.55,23.68,61.0,34,23
"2024-12-02 [12:15, 12:30)",London,10.4,76,18.4,4.07,9.065,301.55,23.68,61.0,33,23
"2024-12-02 [12:30, 12:45)",London,10.3,76,18.4,4.07,9.065,301.55,23.68,61.0,33,23
"2024-12-02 [13:00, 13:15)",London,10.2,76,19.4,4.44,8.325,294.15,21.46,64.0,33,22
"2024-12-02 [13:15, 13:30)",London,10.4,76,19.4,4.44,8.325,294.15,21.46,64.0,33,22
"2024-12-02 [13:30, 13:45)",London,10.3,76,19.4,4.44,8.325,294.15,21.46,64.0,34,23
"2024-12-02 [13:45, 14:00)",London,10.3,76,19.4,4.44,8.325,294.15,21.46,64.0,35,23
"2024-12-02 [14:00, 14:15)",London,10.0,76,20.5,4.995,8.325,296.0,24.975,62.0,35,23
"2024-12-02 [14:15, 14:30)",London,10.3,71,20.5,4.995,8.325,296.0,24.975,62.0,36,24
"2024-12-02 [14:30, 14:45)",London,10.4,71,20.5,4.995,8.325,296.0,24.975,62.0,36,24
"2024-12-02 [14:45, 15:00)",London,10.1,71,20.5,4.995,8.325,296.0,24.975,62.0,36,24
"2024-12-02 [15:00, 15:15)",London,10.3,71,20.2,5.18,8.325,299.7,28.12,61.0,37,24
"2024-12-02 [15:15, 15:30)",London,10.1,71,20.2,5.18,8.325,299.7,28.12,61.0,37,24
"2024-12-02 [15:30, 15:45)",London,9.2,71,20.2,5.18,8.325,299.7,28.12,61.0,37,24
"2024-12-02 [15:45, 16:00)",London,9.4,71,20.2,5.18,8.325,299.7,28.12,61.0,37,24
"2024-12-02 [16:00, 16:15)",London,8.2,76,19.8,6.105,11.47,320.05,32.005,48.0,36,24
"2024-12-02 [16:15, 16:30)",London,9.4,71,19.8,6.105,11.47,320.05,32.005,48.0,33,23
"2024-12-02 [16:30, 16:45)",London,9.2,71,19.8,6.105,11.47,320.05,32.005,48.0,33,24
"2024-12-02 [16:45, 17:00)",London,9.0,71,19.8,6.105,11.47,320.05,32.005,48.0,35,24
"2024-12-02 [17:00, 17:15)",London,9.3,71,18.4,7.4,12.58,316.35,35.335,45.0,36,24
"2024-12-02 [17:45, 18:00)",London,9.2,71,17.6,7.4,12.58,316.35,35.335,45.0,36,24
"2024-12-02 [18:00, 18:15)",London,9.1,71,16.6,8.14,15.355,327.45,41.81,49.0,36,24
"2024-12-02 [18:30, 18:45)",London,8.4,81,16.6,8.14,15.355,327.45,41.81,49.0,36,24
"2024-12-02 [18:15, 18:30)",London,8.4,81,16.6,8.14,15.355,327.45,41.81,49.0,36,24
"2024-12-02 [18:45, 19:00)",London,8.0,81,16.6,8.14,15.355,327.45,41.81,49.0,36,24
"2024-12-02 [19:00, 19:15)",London,8.4,81,15.8,9.435,17.205,331.15,34.225,49.0,36,24
"2024-12-02 [19:15, 19:30)",London,8.4,81,15.8,9.435,17.205,331.15,34.225,49.0,36,24
"2024-12-02 [19:30, 19:45)",London,8.3,81,15.8,9.435,17.205,331.15,34.225,49.0,36,25
"2024-12-02 [19:45, 20:00)",London,8.3,81,15.8,9.435,17.205,331.15,34.225,49.0,36,25
"2024-12-02 [20:15, 20:30)",London,8.2,87,16.2,10.175,16.65,329.3,31.635,48.0,36,25
"2024-12-02 [20:30, 20:45)",London,8.2,87,16.2,10.175,16.65,329.3,31.635,48.0,36,25
"2024-12-02 [20:45, 21:00)",London,8.1,87,16.2,10.175,16.65,329.3,31.635,48.0,36,24
"2024-12-02 [21:15, 21:30)",London,8.2,87,16.9,11.655,18.13,336.7,39.405,46.0,35,24
"2024-12-02 [21:45, 22:00)",London,7.1,100,16.9,11.655,18.13,336.7,39.405,46.0,35,24
"2024-12-02 [22:15, 22:30)",London,7.1,93,16.9,12.765,21.09,345.95,40.7,43.0,35,25
"2024-12-02 [23:00, 23:15)",London,7.1,87,15.8,12.395,21.46,338.55,33.115,45.0,36,25
"2024-12-02 [23:15, 23:30)",London,7.1,87,15.8,12.395,21.46,338.55,33.115,45.0,37,25
"2024-12-02 [23:30, 23:45)",London,6.3,93,15.8,12.395,21.46,338.55,33.115,45.0,36,25
"2024-12-03 [00:00, 00:15)",London,6.3,87,14.4,13.875,23.495,344.1,27.38,39.0,36,25
"2024-12-03 [00:15, 00:30)",London,5.3,93,12.2,13.875,23.495,344.1,27.38,39.0,36,25
"2024-12-03 [00:45, 01:00)",London,5.3,93,12.2,13.875,23.495,344.1,27.38,39.0,35,25
"2024-12-03 [01:15, 01:30)",London,4.2,100,12.2,13.875,23.495,344.1,27.38,39.0,35,25
"2024-12-03 [01:00, 01:15)",London,4.2,100,12.2,13.875,23.495,344.1,27.38,39.0,35,25
"2024-12-03 [01:30, 01:45)",London,4.2,100,12.2,13.875,23.495,344.1,27.38,39.0,35,25
"2024-12-03 [01:45, 02:00)",London,6.2,87,12.2,13.875,23.495,344.1,27.38,39.0,35,25
"2024-12-03 [02:15, 02:30)",London,6.1,87,11.5,14.8,24.79,344.1,27.38,36.0,35,25
"2024-12-03 [02:30, 02:45)",London,6.3,87,11.5,14.8,24.79,344.1,27.38,36.0,35,25
"2024-12-03 [02:45, 03:00)",London,6.1,81,11.5,14.8,24.79,344.1,27.38,36.0,34,25
"2024-12-03 [03:00, 03:15)",London,6.1,81,10.4,15.725,24.975,349.65,27.195,35.0,34,25
"2024-12-03 [03:15, 03:30)",London,6.4,87,10.4,15.725,24.975,349.65,27.195,35.0,34,25
"2024-12-03 [03:30, 03:45)",London,6.3,87,10.4,15.725,24.975,349.65,27.195,35.0,34,25
"2024-12-03 [03:45, 04:00)",London,6.1,81,10.4,15.725,24.975,349.65,27.195,35.0,34,25
"2024-12-03 [04:00, 04:15)",London,6.0,81,9.0,15.91,25.715,347.8,26.27,37.0,34,25
"2024-12-03 [04:30, 04:45)",London,6.1,81,9.0,15.91,25.715,347.8,26.27,37.0,33,25
"2024-12-03 [04:45, 05:00)",London,5.2,87,9.0,15.91,25.715,347.8,26.27,37.0,33,25
"2024-12-03 [05:00, 05:15)",London,5.2,87,8.3,15.91,27.01,347.8,28.49,34.0,33,25
"2024-12-03 [05:30, 05:45)",London,5.1,87,8.3,15.91,27.01,347.8,28.49,34.0,33,25
"2024-12-03 [05:45, 06:00)",London,5.0,93,8.3,15.91,27.01,347.8,28.49,34.0,33,25
"2024-12-03 [06:00, 06:15)",London,5.3,93,7.6,16.095,27.935,349.65,37.74,30.0,33,25
"2024-12-03 [06:15, 06:30)",London,5.1,93,7.6,16.095,27.935,349.65,37.74,30.0,33,25
"2024-12-03 [06:30, 06:45)",London,5.3,87,7.6,16.095,27.935,349.65,37.74,30.0,33,25
"2024-12-03 [06:45, 07:00)",London,5.1,87,7.6,16.095,27.935,349.65,37.74,30.0,33,25
"2024-12-03 [07:00, 07:15)",London,5.1,87,6.5,18.13,29.785,370.0,72.705,10.0,34,25
"2024-12-03 [07:15, 07:30)",London,5.3,93,6.5,18.13,29.785,370.0,72.705,10.0,34,25
"2024-12-03 [07:30, 07:45)",London,5.4,87,6.5,18.13,29.785,370.0,72.705,10.0,34,25
"2024-12-03 [08:15, 08:30)",London,5.3,87,3.6,23.31,32.56,416.25,96.015,3.0,34,25
"2024-12-03 [08:45, 09:00)",London,5.2,87,3.6,23.31,32.56,416.25,96.015,3.0,33,25
"2024-12-03 [09:00, 09:15)",London,5.1,87,3.6,25.53,37.925,479.15,98.05,3.0,33,25
"2024-12-03 [09:15, 09:30)",London,5.4,93,3.6,25.53,37.925,479.15,98.05,3.0,33,25
"2024-12-03 [09:30, 09:45)",London,4.3,100,3.6,25.53,37.925,479.15,98.05,3.0,33,25
"2024-12-03 [09:45, 10:00)",London,5.2,93,3.6,25.53,37.925,479.15,98.05,3.0,32,25
"2024-12-03 [10:00, 10:15)",London,5.2,93,4.3,27.565,40.515,493.95,96.385,8.0,30,23
"2024-12-03 [10:30, 10:45)",London,6.3,87,4.3,27.565,40.515,493.95,96.385,8.0,30,22
"2024-12-03 [11:15, 11:30)",London,6.1,87,4.0,24.05,42.735,469.9,89.725,16.0,30,22
"2024-12-03 [11:30, 11:45)",London,8.3,71,4.0,24.05,42.735,469.9,89.725,16.0,30,22
"2024-12-03 [12:15, 12:30)",London,8.1,71,5.4,21.46,38.11,434.75,69.93,25.0,30,21
"2024-12-03 [12:00, 12:15)",London,8.1,71,5.4,21.46,38.11,434.75,69.93,25.0,30,21
"2024-12-03 [12:30, 12:45)",London,8.4,71,5.4,21.46,38.11,434.75,69.93,25.0,30,21
"2024-12-03 [12:45, 13:00)",London,8.4,71,5.4,21.46,38.11,434.75,69.93,25.0,30,21
"2024-12-03 [13:00, 13:15)",London,8.3,71,4.3,20.35,34.965,432.9,69.745,29.0,31,21
"2024-12-03 [13:15, 13:30)",London,8.0,71,4.3,20.35,34.965,432.9,69.745,29.0,31,21
"2024-12-03 [13:30, 13:45)",London,8.0,71,4.3,20.35,34.965,432.9,69.745,29.0,31,22
"2024-12-03 [14:00, 14:15)",London,8.0,71,4.0,17.76,32.56,447.7,75.295,24.0,32,23
"2024-12-03 [14:15, 14:30)",London,8.1,71,4.0,17.76,32.56,447.7,75.295,24.0,32,24
"2024-12-03 [14:30, 14:45)",London,7.2,76,4.0,17.76,32.56,447.7,75.295,24.0,31,24
"2024-12-03 [14:45, 15:00)",London,7.1,76,4.0,17.76,32.56,447.7,75.295,24.0,31,24
"2024-12-03 [15:00, 15:15)",London,7.3,76,3.6,19.24,35.52,481.0,89.54,18.0,31,24
"2024-12-03 [15:15, 15:30)",London,7.3,76,3.6,19.24,35.52,481.0,89.54,18.0,31,25
"2024-12-03 [15:45, 16:00)",London,7.0,76,3.6,19.24,35.52,481.0,89.54,18.0,30,25
"2024-12-03 [15:30, 15:45)",London,7.0,76,3.6,19.24,35.52,481.0,89.54,18.0,30,25
"2024-12-03 [16:00, 16:15)",London,7.2,76,4.0,24.42,41.81,558.7,104.525,3.0,30,25
"2024-12-03 [16:30, 16:45)",London,5.3,81,4.0,24.42,41.81,558.7,104.525,3.0,31,26
"2024-12-03 [16:45, 17:00)",London,5.3,81,4.0,24.42,41.81,558.7,104.525,3.0,31,26
"2024-12-03 [17:00, 17:15)",London,5.4,81,5.0,31.635,50.135,660.45,118.77,0.0,31,26
"2024-12-03 [17:15, 17:30)",London,5.2,87,5.0,31.635,50.135,660.45,118.77,0.0,31,26
"2024-12-03 [17:30, 17:45)",London,4.0,87,5.0,31.635,50.135,660.45,118.77,0.0,30,26
"2024-12-03 [17:45, 18:00)",London,4.4,87,5.0,31.635,50.135,660.45,118.77,0.0,30,27
"2024-12-03 [18:00, 18:15)",London,4.1,87,4.0,35.705,58.46,701.15,125.8,0.0,30,27
"2024-12-03 [18:15, 18:30)",London,4.1,87,4.0,35.705,58.46,701.15,125.8,0.0,30,27
"2024-12-03 [18:45, 19:00)",London,4.3,93,4.0,35.705,58.46,701.15,125.8,0.0,29,27
"2024-12-03 [19:15, 19:30)",London,4.2,93,4.7,36.075,58.645,699.3,126.725,0.0,29,27
"2024-12-03 [19:30, 19:45)",London,5.4,87,4.7,36.075,58.645,699.3,126.725,0.0,28,27
"2024-12-03 [19:45, 20:00)",London,5.1,87,4.7,36.075,58.645,699.3,126.725,0.0,28,27
"2024-12-03 [20:00, 20:15)",London,5.3,87,4.0,35.52,51.06,662.3,121.545,0.0,29,28
"2024-12-03 [20:15, 20:30)",London,5.4,87,4.0,35.52,51.06,662.3,121.545,0.0,29,28
"2024-12-03 [20:30, 20:45)",London,4.0,93,4.0,35.52,51.06,662.3,121.545,0.0,28,28
"2024-12-03 [20:45, 21:00)",London,4.1,93,4.0,35.52,51.06,662.3,121.545,0.0,28,28
"2024-12-03 [21:00, 21:15)",London,4.3,93,4.7,35.705,51.615,625.3,114.885,1.0,29,28
"2024-12-03 [21:15, 21:30)",London,4.3,93,4.7,35.705,51.615,625.3,114.885,1.0,29,28
"2024-12-03 [21:30, 21:45)",London,4.3,93,4.7,35.705,51.615,625.3,114.885,1.0,28,28
"2024-12-03 [22:00, 22:15)",London,2.1,93,5.4,35.52,52.91,603.1,107.485,1.0,28,28
"2024-12-03 [22:15, 22:30)",London,2.1,93,5.4,35.52,52.91,603.1,107.485,1.0,27,28
"2024-12-03 [22:30, 22:45)",London,2.1,93,5.4,35.52,52.91,603.1,107.485,1.0,27,28
"2024-12-03 [22:45, 23:00)",London,2.2,93,5.4,35.52,52.91,603.1,107.485,1.0,28,28
"2024-12-03 [23:00, 23:15)",London,2.2,93,5.8,34.595,49.95,575.35,93.98,4.0,29,28
"2024-12-03 [23:15, 23:30)",London,2.0,93,5.8,34.595,49.95,575.35,93.98,4.0,29,28
"2024-12-03 [23:45, 00:00)",London,3.3,93,5.8,34.595,49.95,575.35,93.98,4.0,28,28
"2024-12-04 [00:00, 00:15)",London,3.0,93,5.8,23.865,36.63,469.9,70.67,15.0,28,27
"2024-12-04 [00:15, 00:30)",London,2.4,100,5.8,23.865,36.63,469.9,70.67,15.0,27,27
"2024-12-04 [00:30, 00:45)",London,2.4,100,6.8,23.865,36.63,469.9,70.67,15.0,27,27
"2024-12-04 [00:45, 01:00)",London,2.2,100,6.8,23.865,36.63,469.9,70.67,15.0,27,27
"2024-12-04 [01:00, 01:15)",London,2.3,100,6.8,23.865,36.63,469.9,70.67,15.0,28,27
"2024-12-04 [01:15, 01:30)",London,3.2,93,6.8,23.865,36.63,469.9,70.67,15.0,28,27
"2024-12-04 [01:45, 02:00)",London,1.1,93,6.8,23.865,36.63,469.9,70.67,15.0,28,27
"2024-12-04 [02:00, 02:15)",London,1.1,93,6.5,19.055,31.08,419.95,62.715,17.0,28,27
"2024-12-04 [02:15, 02:30)",London,2.0,93,6.5,19.055,31.08,419.95,62.715,17.0,27,27
"2024-12-04 [02:30, 02:45)",London,2.2,93,6.5,19.055,31.08,419.95,62.715,17.0,27,26
"2024-12-04 [02:45, 03:00)",London,2.1,100,6.5,19.055,31.08,419.95,62.715,17.0,27,26
"2024-12-04 [03:00, 03:15)",London,2.4,100,6.1,15.91,26.085,382.95,59.2,19.0,27,26
"2024-12-04 [03:30, 03:45)",London,2.2,100,6.1,15.91,26.085,382.95,59.2,19.0,27,26
"2024-12-04 [03:15, 03:30)",London,2.2,100,6.1,15.91,26.085,382.95,59.2,19.0,27,26
"2024-12-04 [03:45, 04:00)",London,2.3,100,6.1,15.91,26.085,382.95,59.2,19.0,27,26
"2024-12-04 [04:15, 04:30)",London,3.4,100,8.6,15.17,22.385,364.45,55.315,21.0,28,26
"2024-12-04 [04:30, 04:45)",London,3.2,100,8.6,15.17,22.385,364.45,55.315,21.0,28,26
"2024-12-04 [04:45, 05:00)",London,3.3,100,8.6,15.17,22.385,364.45,55.315,21.0,28,26
"2024-12-04 [05:00, 05:15)",London,3.2,100,9.0,13.32,23.495,357.05,50.69,23.0,28,26
"2024-12-04 [05:15, 05:30)",London,3.2,100,9.0,13.32,23.495,357.05,50.69,23.0,28,26
"2024-12-04 [05:30, 05:45)",London,4.0,93,7.6,13.32,23.495,357.05,50.69,23.0,28,26
"2024-12-04 [05:45, 06:00)",London,4.0,93,7.6,13.32,23.495,357.05,50.69,23.0,28,26
"2024-12-04 [06:00, 06:15)",London,4.0,93,9.4,15.17,24.605,370.0,58.83,20.0,28,26
"2024-12-04 [06:15, 06:30)",London,4.4,93,9.4,15.17,24.605,370.0,58.83,20.0,28,26
"2024-12-04 [06:30, 06:45)",London,4.4,93,9.4,15.17,24.605,370.0,58.83,20.0,28,26
"2024-12-04 [06:45, 07:00)",London,4.3,93,9.4,15.17,24.605,370.0,58.83,20.0,28,26
"2024-12-04 [07:15, 07:30)",London,4.4,100,9.4,17.575,27.195,407.0,82.14,4.0,28,26
"2024-12-04 [07:30, 07:45)",London,4.1,100,9.4,17.575,27.195,407.0,82.14,4.0,28,26
"2024-12-04 [08:00, 08:15)",London,4.4,100,10.1,20.535,30.71,466.2,98.05,1.0,29,26
"2024-12-04 [08:15, 08:30)",London,4.4,100,10.1,20.535,30.71,466.2,98.05,1.0,29,27
"2024-12-04 [08:30, 08:45)",London,4.1,93,10.1,20.535,30.71,466.2,98.05,1.0,31,27
"2024-12-04 [09:00, 09:15)",London,4.3,93,8.6,22.755,32.56,545.75,103.23,3.0,30,28
"2024-12-04 [09:15, 09:30)",London,4.3,93,8.6,22.755,32.56,545.75,103.23,3.0,30,27
"2024-12-04 [09:30, 09:45)",London,5.2,93,8.6,22.755,32.56,545.75,103.23,3.0,29,28
"2024-12-04 [09:45, 10:00)",London,5.1,93,8.6,22.755,32.56,545.75,103.23,3.0,28,28
"2024-12-04 [10:00, 10:15)",London,5.4,93,8.3,24.79,31.265,553.15,100.27,6.0,28,28
