time_range,city,outdoor_temperature,outdoor_humidity,outdoor_wind_speed,outdoor_pm2_5,outdoor_pm10,outdoor_co,outdoor_no2,outdoor_o3,indoor_humidity,indoor_temperature
"2024-11-26 [15:00, 15:15)",London,10.1,66,8.3,13.69,23.495,357.05,81.585,38.0,35,22
"2024-11-26 [15:15, 15:30)",London,10.0,66,8.3,13.69,23.495,357.05,81.585,38.0,35,22
"2024-11-26 [15:30, 15:45)",London,10.2,62,8.3,13.69,23.495,357.05,81.585,38.0,35,22
"2024-11-26 [15:45, 16:00)",London,10.0,62,8.3,13.69,23.495,357.05,81.585,38.0,35,22
"2024-11-26 [16:00, 16:15)",London,10.3,62,6.5,16.28,28.49,382.95,120.065,24.0,35,22
"2024-11-26 [16:15, 16:30)",London,9.2,66,6.5,16.28,28.49,382.95,120.065,24.0,35,22
"2024-11-26 [16:45, 17:00)",London,7.1,70,6.5,16.28,28.49,382.95,120.065,24.0,35,22
"2024-11-26 [17:00, 17:15)",London,7.1,70,4.7,23.125,32.375,445.85,150.22,4.0,35,22
"2024-11-26 [17:15, 17:30)",London,7.2,81,4.7,23.125,32.375,445.85,150.22,4.0,35,22
"2024-11-26 [17:30, 17:45)",London,5.1,87,4.7,23.125,32.375,445.85,150.22,4.0,35,22
"2024-11-26 [18:00, 18:15)",London,5.4,87,3.6,28.49,45.51,560.55,172.42,0.0,35,22
"2024-11-26 [18:15, 18:30)",London,5.3,87,3.6,28.49,45.51,560.55,172.42,0.0,35,22
"2024-11-26 [18:30, 18:45)",London,5.4,87,5.0,28.49,45.51,560.55,172.42,0.0,35,22
"2024-11-26 [18:45, 19:00)",London,5.3,87,5.0,28.49,45.51,560.55,172.42,0.0,35,22
"2024-11-26 [19:00, 19:15)",London,5.2,87,4.3,35.52,48.655,634.55,179.265,0.0,35,22
"2024-11-26 [19:15, 19:30)",London,6.3,81,4.3,35.52,48.655,634.55,179.265,0.0,35,22
"2024-11-26 [19:30, 19:45)",London,5.2,87,4.3,35.52,48.655,634.55,179.265,0.0,35,22
"2024-11-26 [19:45, 20:00)",London,5.1,87,4.3,35.52,48.655,634.55,179.265,0.0,35,22
"2024-11-26 [20:00, 20:15)",London,5.4,87,3.6,42.18,54.02,666.0,167.425,0.0,35,22
"2024-11-26 [20:15, 20:30)",London,5.1,87,3.6,42.18,54.02,666.0,167.425,0.0,35,23
"2024-11-26 [20:30, 20:45)",London,4.2,93,3.6,42.18,54.02,666.0,167.425,0.0,36,23
"2024-11-26 [21:00, 21:15)",London,6.4,81,4.3,40.7,56.055,654.9,160.395,0.0,35,23
